"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient_X"	"Skin_Friction_Coefficient_Y"	"Skin_Friction_Coefficient_Z"	"Heat_Flux"	"Y_Plus"	"Eddy_Viscosity"	"Points:0"	"Points:1"	"Points:2"
1.1362	324.06	0.72949	17.83	2.8131e+005	4.7264e-005	93983	288.15	3.8436e-005	0.83939	1.7893e-005	0	0	0	0	0	3.7715e-006	4.4684	3.0467	-1.2746
1.1361	324.07	0.69424	17.841	2.8128e+005	4.7262e-005	93965	288.13	-0.00034465	0.83956	1.7892e-005	0	0	0	0	0	3.7695e-006	5.6413	3.104	-1.2433
1.1362	324.06	0.61585	17.94	2.8131e+005	4.7263e-005	93981	288.15	9.7327e-006	0.83941	1.7893e-005	0	0	0	0	0	3.7711e-006	4.4487	3.1948	-1.0461
1.1363	324.04	0.63235	17.928	2.8133e+005	4.7265e-005	93993	288.16	0.00025858	0.83928	1.7893e-005	0	0	0	0	0	3.7727e-006	3.7472	3.1364	-1.0944
1.1362	324.03	1.1263	18.649	2.8131e+005	4.7287e-005	93979	288.15	-3.5997e-005	0.83945	1.7893e-005	0	0	0	0	0	3.778e-006	4.3131	2.409	-0.53826
1.1363	324.01	1.178	18.655	2.8134e+005	4.7284e-005	93996	288.16	0.00032824	0.83928	1.7894e-005	0	0	0	0	0	3.7784e-006	3.4545	2.3679	-0.59628
1.1351	324.16	0.65962	18.774	2.8109e+005	4.7219e-005	93859	288.04	-0.0026392	0.84074	1.7888e-005	0	0	0	0	0	3.7475e-006	1.1357	2.2969	-0.59854
1.1363	324.04	0.49058	18.024	2.8132e+005	4.7263e-005	93991	288.16	0.00021205	0.8393	1.7893e-005	0	0	0	0	0	3.7718e-006	3.6764	3.2674	-0.8522
1.1359	324.09	0.4961	17.858	2.8124e+005	4.7245e-005	93948	288.12	-0.00070273	0.83973	1.7892e-005	0	0	0	0	0	3.7629e-006	1.1169	2.977	-1.0797
1.1357	324.1	0.34255	17.923	2.812e+005	4.7237e-005	93927	288.1	-0.0011593	0.83994	1.7891e-005	0	0	0	0	0	3.7586e-006	1.0964	3.1314	-0.84517
1.1357	324.11	0.3523	17.905	2.8119e+005	4.7234e-005	93922	288.1	-0.0012825	0.84	1.789e-005	0	0	0	0	0	3.7574e-006	1.0298	3.1232	-0.84024
1.1348	324.2	0.31641	18.847	2.8101e+005	4.7194e-005	93819	288.01	-0.0034977	0.84116	1.7886e-005	0	0	0	0	0	3.7367e-006	1.1144	2.3998	-0.42705
1.1346	324.22	0.336	18.824	2.8098e+005	4.7186e-005	93798	287.99	-0.0039493	0.84138	1.7885e-005	0	0	0	0	0	3.7324e-006	1.076	2.3962	-0.42516
1.1355	324.12	0.20048	17.938	2.8116e+005	4.7219e-005	93902	288.08	-0.0016937	0.84017	1.789e-005	0	0	0	0	0	3.7509e-006	1.0116	3.2625	-0.59036
1.1382	323.84	-0.0086151	17.451	2.8174e+005	4.7347e-005	94213	288.35	0.0049981	0.83702	1.7903e-005	0	0	0	0	0	3.816e-006	-1.3485	0	-0.39773
1.1385	323.8	0.047459	17.484	2.8179e+005	4.7368e-005	94243	288.38	0.005648	0.83668	1.7904e-005	0	0	0	0	0	3.825e-006	-1.2371	0.2186	-0.28185
1.1381	323.86	-0.0089906	17.464	2.8172e+005	4.7343e-005	94202	288.34	0.0047682	0.83714	1.7902e-005	0	0	0	0	0	3.814e-006	-1.3754	0	-0.30115
1.141	323.45	-0.089576	17.628	2.8233e+005	4.7486e-005	94540	288.64	0.012066	0.83357	1.7917e-005	0	0	0	0	0	3.8864e-006	-0.82616	0	-0.18848
1.1405	323.51	-0.086613	17.833	2.8222e+005	4.7463e-005	94479	288.59	0.010736	0.83422	1.7914e-005	0	0	0	0	0	3.874e-006	-0.82616	0	0.18848
1.1381	323.84	0.044541	17.599	2.8171e+005	4.7353e-005	94202	288.34	0.0047745	0.83711	1.7902e-005	0	0	0	0	0	3.817e-006	-1.2371	0.2186	0.2819
1.1378	323.89	-0.0084639	17.553	2.8165e+005	4.733e-005	94167	288.31	0.0040122	0.83751	1.7901e-005	0	0	0	0	0	3.807e-006	-1.3754	0	0.30115
1.1378	323.89	-0.0081359	17.574	2.8165e+005	4.7329e-005	94165	288.31	0.0039629	0.83753	1.7901e-005	0	0	0	0	0	3.8066e-006	-1.3485	0	0.39773
1.138	323.89	0.0023329	17.213	2.817e+005	4.7333e-005	94191	288.33	0.00452	0.83728	1.7902e-005	0	0	0	0	0	3.8099e-006	-1.1383	0	-2.0168
1.138	323.89	0.034428	17.246	2.8169e+005	4.7335e-005	94185	288.33	0.0043941	0.83734	1.7901e-005	0	0	0	0	0	3.8102e-006	-1.2271	0.28578	-1.8092
1.1379	323.91	0.0019776	17.242	2.8167e+005	4.7327e-005	94175	288.32	0.0041751	0.83744	1.7901e-005	0	0	0	0	0	3.8068e-006	-1.2559	0	-1.945
1.1406	323.55	-0.010763	17.08	2.8225e+005	4.7455e-005	94491	288.6	0.010991	0.83411	1.7914e-005	0	0	0	0	0	3.8727e-006	-0.6887	0	-1.1933
1.137	324.01	0.013081	17.378	2.8149e+005	4.7291e-005	94075	288.23	0.0020177	0.8385	1.7897e-005	0	0	0	0	0	3.7873e-006	-2.1051	0.27441	-0.59288
1.1369	324.02	-0.0017968	17.371	2.8147e+005	4.7286e-005	94065	288.22	0.0018145	0.83859	1.7897e-005	0	0	0	0	0	3.7851e-006	-2.2466	0	-0.64375
1.137	324.02	0.012529	17.383	2.8148e+005	4.7289e-005	94070	288.23	0.0019168	0.83855	1.7897e-005	0	0	0	0	0	3.7864e-006	-2.1411	0.27469	-0.44947
1.1368	324.03	0.011441	17.425	2.8144e+005	4.7282e-005	94050	288.21	0.001498	0.83875	1.7896e-005	0	0	0	0	0	3.7826e-006	-2.1051	0.27439	0.59296
1.1367	324.04	-0.0015539	17.413	2.8143e+005	4.7278e-005	94043	288.2	0.0013334	0.83883	1.7896e-005	0	0	0	0	0	3.7806e-006	-2.2466	0	0.64375
